きんしんしゅうこう,錦心繍口,9,
きんせいぎょくしん,金声玉振,9,
くうちゅうろうかく,空中楼閣,9,
ぐたいれいでいうと,具体例で言うと,9,
ぐんぶんるいじゅう,群分類従,9,
けいこくたいぎょう,経国大業,9,
げきしょうかんえん,劇症肝炎,9,
けっせんとうひょう,決選投票,9,
けつろんからいうと,結論から言うと,9,
げんかしょうきゃく,減価償却,9,
けんぼうじゅっすう,権謀術数,9,
ごいけんごしつもん,ご意見、ご質問,9,
こういんりゅうすい,光陰流水,9,
こううんりゅうすい,行雲流水,9,
こうげんれいしょく,巧言令色,9,
こうざんりゅうすい,高山流水,9,
こうじょりょうぞく,公序良俗,9,
こうぼうしんじょう,厚貌深情,9,
こうりおろしぎょう,小売・卸業,9,
こうりょういっすい,黄粱一炊,9,
こくびゃくぶんめい,黒白分明,9,
ごしつもんごいけん,ご質問、ご意見,9,
こつそしょうしょう,骨粗しょう症,9,
さぶろくきょうてい,三六協定,9,
さんがくきょうどう,産学協同,9,
さんじゅうろくさく,三十六策,9,
さんちゅうれきじつ,山中暦日,9,
しちきんしちしょう,七擒七縦,9,
しちめんどうくさい,しち面倒くさい,9,
しちゅうきゅうかつ,死中求活,9,
じっきょうけんぶん,実況見分,9,
じゅうからにじゅう,１０から２０,9,
しゅうじょうさいど,衆生済度,9,
しゅうそうれつじつ,秋霜烈日,9,
じゅうねんいちじつ,十年一日,9,
じゅうねんいっけん,十年一剣,9,
じゅうのうせいごう,柔能制剛,9,
じゅうはっしりゃく,十八史略,9,
じゅうろくぶおんぷ,十六分音符,9,
じゅくりょだんこう,熟慮断行,9,
しゅんかしゅうじつ,春華秋実,9,
じゅんじょうかれん,純情可憐,9,
じゅんちょうにいく,順調にいく,9,
しゅんぷうたいとう,春風駘蕩,9,
じゅんぷうまんぱん,順風満帆,9,
しゅんぷうまんめん,春風満面,9,
しょうじきにいうと,正直に言うと,9,
じょうしゃひっすい,盛者必衰,9,
しょうじゃひつめつ,生者必滅,9,
しょうじんけっさい,精進潔斎,9,
しょうしんよくよく,小心翼々,9,
しょうにんかんきょ,小人閑居,9,
しょうふうすいげつ,松風水月,9,
じょうみゃくりゅう,静脈瘤（りゅう）,9,
しょぎょうむじょう,諸行無常,9,
しょくじりょうほう,食事療法,9,
しょっかくさんぜん,食客三千,9,
じんげんじゅうりん,人権じゅうりん,9,
しんしゅのきしょう,進取の気性,9,
しんしょうひつばつ,信賞必罰,9,
しんしょうぼうだい,針小棒大,9,
しんしんこうじゃく,心神耗弱,9,
じんしんしゅうらん,人心収攬,9,
しんとうめっきゃく,心頭滅却,9,
じんめんじゅうしん,人面獣心,9,
